index,label,name,x,y,z_previous_m,z_selected_m,yaw_previous_rad,yaw_selected_rad,yaw_delta_rad,radius_m,hold_time_sec,max_duration_sec,path_tangent_yaw_rad,r4h_nearest_z_mean_m,r4h_nearest_z_min_m,r4h_nearest_z_max_m,r4h_active_z_mean_m,r4h_nearest_distance_mean_m,r4h_active_distance_mean_m,r4h_active_yaw_circ_mean_rad,r4h_nearest_yaw_circ_mean_rad,selection_reason
0,P0,p0_h_midair_start,55.0,16.0,10.0,10.0,0.469929,0.469929,0.0,4.0,0.2,40.0,0.46992794268653587,9.799624666666666,9.719213,9.932872,9.576259,0.34805974676564017,1.0337764715640496,0.3077288280253172,0.6546497091893065,z retained at 10m R4_H band; yaw retained for corridor/bridge semantic
1,P1,p1_o3_reference_behind,96.459,37.056,10.0,10.0,1.307843,0.564,-0.743843,5.5,0.2,45.0,0.6074364501345809,10.115779999999999,10.064661,10.154071,10.015482333333333,0.15890580667861143,1.07354155304869,0.5210595664922646,0.9243490667287928,z retained at 10m R4_H band; yaw updated from path tangent and R4_H local heading blend
2,P2,p2_o3_front_offset,101.42,48.267,10.0,10.0,0.089402,0.853933,0.7645309999999998,5.5,0.2,45.0,0.4699373786194266,10.143889666666666,10.079255,10.189798,10.199365666666667,0.3201721678104775,2.0793975517894068,0.9328233866608588,0.3985130685031423,z retained at 10m R4_H band; yaw updated from path tangent and R4_H local heading blend
3,P3,p3_o4_reference_behind_mirror,110.279,44.075,10.0,10.0,-0.36807,-0.193061,0.1750090000000002,5.5,0.2,45.0,-0.3154607847780223,9.998896666666667,9.824255,10.1015,10.053985666666666,0.29655000855814234,2.541293467973756,-0.05008581804688508,-0.3493241425773315,z retained at 10m R4_H band; yaw updated from path tangent and R4_H local heading blend
4,P4,p4_o4_front_offset_mirror,122.259,41.466,10.0,10.0,0.557393,0.060428,-0.4969649999999999,5.5,0.2,45.0,0.16515565872913826,9.875556,9.503903,10.070334,9.820983333333334,0.41212749330894377,2.3771219521075504,-0.28124995705305866,-0.1142794592369098,z retained at 10m R4_H band; yaw updated from path tangent and R4_H local heading blend
5,P5,p5_white_wind_channel_w1_station,156.735,51.818,10.0,10.0,-0.570212,-0.570212,0.0,6.0,0.2,50.0,-0.15423239899689734,10.044707333333333,9.999743,10.0707,9.996402666666667,0.4794041925020922,1.7728266363396794,0.25709185388517436,0.4161534401824104,z retained at 10m R4_H band; yaw retained for corridor/bridge semantic
6,P6,p6_white_wind_channel_w4_station,189.077,31.078,10.0,10.0,-0.570212,-0.570212,0.0,6.0,0.2,50.0,-1.1965648525512398,10.084301,10.064421,10.099953,10.030795666666666,0.0895856464043397,1.4100286172914867,-0.42113552168807816,-1.0252969283368683,z retained at 10m R4_H band; yaw retained for corridor/bridge semantic
7,P7,p7_red_bridge_center_normal,196.827,-50.265,10.0,10.0,-0.967569,-0.967569,0.0,5.5,0.2,45.0,-1.2363125838461677,10.083714333333333,10.067086,10.105409,10.071069666666666,0.12993388764368066,2.2213069235039735,-1.4374883456538816,-0.9175223613722892,z retained at 10m R4_H band; yaw retained for corridor/bridge semantic
8,P8,p8_cargo_one_meter_finish,238.24,-110.381,10.0,10.0,-0.967569,-0.967569,0.0,1.0,0.2,45.0,-0.9675692314376662,10.02994,10.026549,10.032885,10.02994,0.6128280279055155,0.6128280279055155,-0.9601211302146987,-0.8087076758907562,z retained at 10m R4_H band; yaw retained for corridor/bridge semantic
