wall_time,ros_time,x,y,z,vx,vy,vz,actual_yaw,expected_x,expected_y,expected_z,expected_vx,expected_vy,expected_vz,expected_ax,expected_ay,expected_az,expected_yaw,expected_yaw_dot,pos_cmd_age_sec,position_error_to_expected_m,velocity_error_to_expected_m,yaw_error_rad,mode,armed,active_goal_index,active_goal_x,active_goal_y,active_goal_z,active_goal_distance_m,cross_track_m,along_track_m
1.557,0.808000,-0.002229,0.002317,4.550735,-0.002272,0.007719,0.675279,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.540121,57.281507,0.000000
1.594,0.844000,-0.002541,0.002766,4.575907,-0.002020,0.008858,0.626440,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.537916,57.281681,0.000000
1.627,0.876000,-0.002848,0.003256,4.596879,-0.002164,0.010011,0.575767,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.536100,57.281839,0.000000
1.658,0.908000,-0.003141,0.003782,4.613620,-0.001713,0.011554,0.527460,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.534664,57.281973,0.000000
1.696,0.944000,-0.003484,0.004520,4.628771,-0.001946,0.013744,0.472588,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.533370,57.282097,0.000000
1.728,0.976000,-0.003745,0.005162,4.636755,-0.001469,0.015421,0.433774,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.532697,57.282169,0.000000
1.760,1.008000,-0.003983,0.005856,4.641663,-0.001235,0.016972,0.398335,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.532274,57.282203,0.000000
1.797,1.044000,-0.004195,0.006593,4.644021,-0.001005,0.018751,0.367253,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.532053,57.282201,0.000000
1.829,1.076000,-0.004398,0.007376,4.644326,-0.000868,0.019752,0.339566,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.532000,57.282177,0.000000
1.860,1.108000,-0.004577,0.008182,4.642999,-0.000422,0.021067,0.315003,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.532071,57.282124,0.000000
1.896,1.144000,-0.004748,0.009249,4.639552,0.000223,0.023422,0.287625,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.532259,57.281991,0.000000
1.928,1.180000,-0.004863,0.010171,4.635711,0.000473,0.025322,0.268328,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.532470,57.281843,0.000000
1.960,1.208000,-0.004965,0.011123,4.631174,0.000474,0.025974,0.251438,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.532727,57.281676,0.000000
1.997,1.244000,-0.005062,0.011699,4.625605,0.002295,0.006716,0.233088,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.533180,57.281608,0.000000
2.029,1.276000,-0.005067,0.011927,4.619499,0.002481,0.008590,0.215543,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.533692,57.281550,0.000000
2.061,1.308000,-0.005053,0.012139,4.613183,0.002564,0.010805,0.200745,0.000000,,,,,,,,,,,,,,,,,false,0,55.000000,16.000000,10.000000,57.534211,57.281477,0.000000
2.098,1.344000,-0.004992,0.012391,4.605187,0.003865,0.012925,0.185221,0.000000,0.035795,0.038253,4.669578,0.010938,0.012179,0.201624,0.735684,0.189840,0.151583,0.031416,2.748894,0.003848,0.080490,0.017879,-0.031416,,false,0,55.000000,16.000000,10.000000,57.534831,57.281348,0.000000
2.130,1.376000,-0.004909,0.012586,4.598839,0.004289,0.014234,0.174181,0.000000,0.190627,0.114987,4.751031,0.052024,0.027714,0.211486,1.775024,0.805475,0.443941,0.100531,3.092505,0.002478,0.268109,0.062065,-0.100531,,false,0,55.000000,16.000000,10.000000,57.535293,57.281213,0.000000
2.162,1.408000,-0.004797,0.012810,4.592620,0.004831,0.015330,0.164895,0.000000,0.264573,0.157329,4.796025,0.111934,0.056983,0.228225,2.471821,1.298796,0.732859,0.144513,3.135457,0.008366,0.367179,0.131212,-0.144513,,false,0,55.000000,16.000000,10.000000,57.535709,57.281044,0.000000
2.199,1.444000,-0.004706,0.013019,4.586627,0.004384,0.016216,0.154528,0.000000,0.407560,0.246793,4.874756,0.226733,0.121280,0.263799,3.218293,1.880285,1.020536,0.202972,2.668226,0.003764,0.554646,0.269106,-0.202972,,false,0,55.000000,16.000000,10.000000,57.536127,57.280898,0.000000
2.231,1.476000,-0.004642,0.013250,4.580706,0.015266,-0.005553,0.142032,1.570637,0.544084,0.335629,4.942990,0.337051,0.188566,0.298456,3.650163,2.318272,1.115430,0.205087,0.332589,0.003767,0.732310,0.407058,1.365550,,false,0,55.000000,16.000000,10.000000,57.536559,57.280772,0.000000
2.264,1.508000,-0.004592,0.013481,4.574815,0.015843,-0.005209,0.130612,1.570779,0.615591,0.382481,4.976718,0.443410,0.257898,0.329190,3.933413,2.628131,1.050695,0.200853,-0.220657,0.006844,0.826022,0.539882,1.369926,,false,0,55.000000,16.000000,10.000000,57.537001,57.280659,0.000000
2.300,1.544000,-0.004537,0.013757,4.567543,0.016353,-0.004964,0.116543,1.570786,0.751565,0.472310,5.030209,0.607182,0.369410,0.365893,4.232777,2.940276,0.744704,0.193108,-0.332940,0.002995,0.998008,0.742570,1.377678,,false,0,55.000000,16.000000,10.000000,57.537558,57.280529,0.000000
2.332,1.576000,-0.004506,0.013949,4.561797,0.015756,-0.004499,0.105994,1.570841,0.877342,0.558769,5.069669,0.745539,0.467496,0.384038,4.400877,3.173375,0.373128,0.186681,-0.381446,0.003764,1.154304,0.912508,1.384160,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.538018,57.280446,0.000000
2.365,1.612000,-0.004487,0.014092,4.556157,0.015099,-0.004398,0.096753,1.570890,0.948178,0.606979,5.089706,0.870166,0.558481,0.389332,4.493604,3.311403,0.003132,0.181870,-0.335532,0.007549,1.242482,1.064695,1.389020,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.538494,57.280388,0.000000
2.402,1.644000,-0.004476,0.014183,4.550664,0.014156,-0.004012,0.088634,1.570902,1.075549,0.692447,5.117445,1.056287,0.693427,0.379405,4.608198,3.251975,-0.525024,0.175173,-0.306007,0.003940,1.395613,1.287247,1.395728,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.538978,57.280352,0.000000
2.433,1.676000,-0.004503,0.014217,4.544066,0.012894,-0.002730,0.080050,1.570899,1.111724,0.716282,5.129244,1.205125,0.795636,0.355755,4.694208,3.136072,-0.953102,0.173924,-0.097051,0.002799,1.442668,1.461101,1.396974,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.539620,57.280369,0.000000
2.464,1.708000,-0.004537,0.014198,4.540276,0.012173,-0.002691,0.075415,1.570898,1.260688,0.812381,5.145654,1.343317,0.885740,0.325972,4.709449,2.983169,-1.227517,0.166573,-0.412275,0.007506,1.613807,1.619887,1.404325,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.540017,57.280407,0.000000
2.500,1.744000,-0.004598,0.014107,4.534274,0.010944,-0.002362,0.068899,1.570867,1.379138,0.887714,5.157396,1.537722,1.001995,0.269100,4.721999,2.576331,-1.581830,0.160563,-0.282526,0.003759,1.751055,1.838441,1.410305,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.540670,57.280490,0.000000
2.533,1.776000,-0.004660,0.013969,4.529762,0.009297,-0.001821,0.063954,1.570842,1.430765,0.921020,5.165162,1.689027,1.077239,0.215161,4.734587,2.126410,-1.789357,0.158671,-0.133587,0.002819,1.812986,2.002181,1.412172,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.541197,57.280589,0.000000
2.565,1.808000,-0.004726,0.013777,4.525517,0.008061,-0.001913,0.059928,1.570869,1.553976,0.988254,5.169120,1.824569,1.118530,0.170127,4.672356,1.130598,-1.634390,0.154534,-0.251996,0.006948,1.947660,2.137110,1.416335,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.541717,57.280705,0.000000
2.601,1.844000,-0.004786,0.013536,4.521554,0.006711,-0.001504,0.056342,1.570864,1.650733,1.041721,5.174043,2.011624,1.143140,0.106536,4.544363,0.026129,-1.530007,0.151473,-0.146012,0.004402,2.055153,2.309200,1.419392,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.542219,57.280831,0.000000
2.633,1.876000,-0.004871,0.013244,4.517865,0.005302,-0.000669,0.052919,1.570875,1.765047,1.092576,5.174841,2.164723,1.131592,0.058422,4.624433,-0.824818,-1.442445,0.149404,-0.124844,0.003719,2.174669,2.438266,1.421471,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.542732,57.280993,0.000000
2.665,1.908000,-0.004969,0.012927,4.514439,0.004425,-0.000195,0.049649,1.570797,1.838974,1.126466,5.175450,2.292201,1.099470,0.020085,4.341185,-1.449667,-1.277168,0.148121,-0.094483,0.008226,2.253227,2.538515,1.422676,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.543240,57.281176,0.000000
2.700,1.944000,-0.005090,0.012499,4.510521,0.003257,-0.000432,0.046851,1.570767,1.951561,1.172797,5.174710,2.457548,1.026831,-0.025496,3.924175,-2.191652,-1.003940,0.146922,-0.061495,0.002439,2.369793,2.661587,1.423845,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.543848,57.281411,0.000000
2.732,1.976000,-0.005184,0.012135,4.507673,0.002253,0.000185,0.044612,1.570730,2.043281,1.205585,5.173061,2.579694,0.948016,-0.054331,3.596561,-2.724954,-0.797289,0.146620,-0.020949,0.003123,2.462371,2.747976,1.424110,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.544311,57.281603,0.000000
2.772,2.008000,-0.005288,0.011758,4.505077,0.001510,0.000905,0.042890,1.570702,2.116870,1.231008,5.171250,2.674808,0.865960,-0.074195,3.197268,-3.136200,-0.621589,0.146717,0.007489,0.014673,2.536515,2.812214,1.423985,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.544763,57.281809,0.000000
2.809,2.044000,-0.005390,0.011369,4.502719,0.000491,0.001190,0.041515,1.570678,2.230816,1.263357,5.167646,2.797167,0.745466,-0.097750,2.698556,-2.961947,-0.538842,0.083885,-2.944775,0.004048,2.647681,2.897367,1.486793,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.545194,57.282015,0.000000
2.840,2.076000,-0.005519,0.010985,4.500584,-0.000523,0.001905,0.040163,1.570667,2.321561,1.285660,5.164262,2.871396,0.652167,-0.113622,1.940825,-2.868942,-0.453205,0.033620,-3.116990,0.003820,2.735062,2.948628,1.537047,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.545628,57.282246,0.000000
2.872,2.108000,-0.005652,0.010592,4.498654,-0.001264,0.002388,0.038832,1.570665,2.400690,1.302413,5.161012,2.918007,0.573723,-0.125400,1.406875,-2.734927,-0.388687,-0.004508,-2.568014,0.006570,2.810338,2.979184,1.575172,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.546049,57.282484,0.000000
2.907,2.144000,-0.005824,0.010102,4.496520,-0.002153,0.002626,0.037772,1.570697,2.514939,1.322704,5.155881,2.962587,0.469061,-0.139402,0.887987,-2.484856,-0.316752,-0.013663,-0.439652,0.002125,2.917521,3.006432,1.584359,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.546553,57.282785,0.000000
2.940,2.176000,-0.005963,0.009702,4.495032,-0.003432,0.003085,0.037276,1.570688,2.605852,1.335946,5.151486,2.985453,0.392865,-0.148771,0.548565,-2.274663,-0.269169,-0.014594,-0.095816,0.003694,3.001905,3.019930,1.585282,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.546940,57.283030,0.000000
2.971,2.208000,-0.006103,0.009294,4.493709,-0.003926,0.003380,0.035524,1.570710,2.687427,1.345888,5.147341,2.996102,0.331703,-0.155702,0.233101,-2.093248,-0.227217,-0.014599,-0.006862,0.006320,3.077146,3.023993,1.585309,CMODE(50593792),false,0,55.000000,16.000000,10.000000,57.547314,57.283279,0.000000
