index,label,name,x,y,z,yaw_rad,radius_m,nearest_distance_m,nearest_x,nearest_y,nearest_z,nearest_time_sec,nearest_actual_yaw_rad,nearest_yaw_error_rad,active_nearest_distance_m,metric_3_6_error_ratio,metric_3_6_pass,metric_3_9_final_error_ratio,metric_3_10_pass,status,finalized,finalize_reason
0,P0,p0_h_midair_start,55.0,16.0,10.0,0.469929,4.0,0.4151182508478748,55.228573,15.796933,9.719213,31.292,0.781588,0.31165900000000013,0.4996143708831853,,,,,passed,True,active_goal_switch
1,P1,p1_o3_reference_behind,96.459,37.056,10.0,0.564,5.5,0.17691406820261527,96.497658,36.94083,10.128608,48.728,0.911721,0.34772099999999995,1.046799482714337,0.003804644248737844,True,,True,passed,True,active_goal_switch
2,P2,p2_o3_front_offset,101.42,48.267,10.0,0.853933,5.5,0.3579321666475375,101.506111,47.959988,10.162616,54.092,0.3866,-0.467333,2.071904661208141,0.02919604792592023,True,,True,passed,True,active_goal_switch
3,P3,p3_o4_reference_behind_mirror,110.279,44.075,10.0,-0.193061,5.5,0.2403451351910363,110.393509,44.274052,10.070935,58.228,-0.270804,-0.0777429999999999,2.4475068036450804,0.02452313135178213,True,,True,passed,True,active_goal_switch
4,P4,p4_o4_front_offset_mirror,122.259,41.466,10.0,0.060428,5.5,0.22960631767004774,122.226448,41.687157,10.052431,63.128,0.011724,-0.04870399999999986,2.3554253788371278,0.0187268586486261,True,,True,passed,True,active_goal_switch
5,P5,p5_white_wind_channel_w1_station,156.735,51.818,10.0,-0.570212,6.0,0.5296889781324464,156.754517,51.292515,10.063679,75.892,0.438332,1.0085440000000006,1.8061773394910814,0.014714953914659748,True,,True,passed,True,active_goal_switch
6,P6,p6_white_wind_channel_w4_station,189.077,31.078,10.0,-0.570212,6.0,0.10258979484334596,189.078049,31.101086,10.099953,89.96,-1.064248,-0.4940359999999999,1.582249226716827,0.002670167703779472,True,,True,passed,True,active_goal_switch
7,P7,p7_red_bridge_center_normal,196.827,-50.265,10.0,-0.967569,5.5,0.14783121974061572,196.728699,-50.342495,10.078648,118.16,-0.908323,0.05924599999999991,2.3334242391416966,0.0018091881226743496,True,,True,passed,True,active_goal_switch
8,P8,p8_cargo_one_meter_finish,238.24,-110.381,10.0,-0.967569,1.0,0.5539417631096325,237.841736,-109.997185,10.030386,143.224,-0.813141,0.15442800000000023,0.5539417631096325,,,0.0017872017938693158,True,current,True,final_hold_reached
