phase,kind,start_sec,end_sec,duration_sec,steady_window_sec,eval_window_sec,stationarity_window_sec,transient_start_sec,settle_search_start_sec,settled_start_sec,eval_start_sec,eval_end_sec,settled,not_settled_reason,stationarity_metrics,evaluated_component,repeat,velocity_key,velocity_speed_mps,desired,steady_actual,denominator,error_percent,sample_count,steady_sample_count,eval_sample_count
velocity_4mps_window_06_B_to_A,velocity,418.5,441.0,22.5,,5.0,3.0,418.5,424.5,424.5,427.5,432.5,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.09510889883131213, 'speed_std_mps': 0.0775288026177475, 'velocity_slope_mps2': 0.07393895428022566, 'speed_slope_mps2': 0.07410619923059707, 'endpoint_margin_remaining_m': 34.0, 'endpoint_margin_required_m': 8.0}",E_vel,6,4mps,4.0,"[3.9664736515068846, -0.5168043845611576]","[3.886650319523793, -0.39457731392710593]",4.0,3.649590826779788,224,30,50
velocity_4mps_window_07_A_to_B,velocity,441.0,463.5,22.5,,5.0,3.0,441.0,447.0,447.0,450.0,455.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.09329629709988527, 'speed_std_mps': 0.08825403043655373, 'velocity_slope_mps2': 0.08796778038837856, 'speed_slope_mps2': 0.08778997349786956, 'endpoint_margin_remaining_m': 34.0, 'endpoint_margin_required_m': 8.0}",E_vel,7,4mps,4.0,"[-3.9664736515068846, 0.5168043845611576]","[-3.8659663097559336, 0.41844424555649057]",4.0,3.5157185157215625,224,30,50
velocity_4mps_window_08_B_to_A,velocity,463.5,486.0,22.5,,5.0,3.0,463.5,469.5,469.5,472.5,477.5,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.09510240607674479, 'speed_std_mps': 0.08250277785416911, 'velocity_slope_mps2': 0.08497215040403927, 'speed_slope_mps2': 0.08506463668624506, 'endpoint_margin_remaining_m': 34.0, 'endpoint_margin_required_m': 8.0}",E_vel,8,4mps,4.0,"[3.9664736515068846, -0.5168043845611576]","[3.8569968242795034, -0.40077578614853765]",4.0,3.9880925382138286,224,30,50
velocity_4mps_window_09_A_to_B,velocity,486.0,508.5,22.5,,5.0,3.0,486.0,492.0,492.0,495.0,500.0,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.08464124251439847, 'speed_std_mps': 0.0811672100853191, 'velocity_slope_mps2': 0.08037599869090109, 'speed_slope_mps2': 0.07949744380739131, 'endpoint_margin_remaining_m': 34.0, 'endpoint_margin_required_m': 8.0}",E_vel,9,4mps,4.0,"[-3.9664736515068846, 0.5168043845611576]","[-3.860355127773541, 0.41113507023512696]",4.0,3.7439238331493296,224,30,50
velocity_4mps_window_10_B_to_A,velocity,508.5,531.0,22.5,,5.0,3.0,508.5,514.5,514.5,517.5,522.5,True,,"{'valid': True, 'sample_count': 30, 'velocity_std_mps': 0.06067567655087163, 'speed_std_mps': 0.04114469543629361, 'velocity_slope_mps2': 0.03833275728644929, 'speed_slope_mps2': 0.02952313044468467, 'endpoint_margin_remaining_m': 34.0, 'endpoint_margin_required_m': 8.0}",E_vel,10,4mps,4.0,"[3.9664736515068846, -0.5168043845611576]","[3.910791067061047, -0.4011524822681008]",4.0,3.208963297796754,224,30,50
hold_after_velocity_4mps_at_A,hold,531.0,534.0,3.0,,5.0,3.0,531.0,531.0,,,,,,,,10,,,,,,,30,,
position_vertex_00,position,534.0,552.0,18.0,,5.0,3.0,534.0,541.0,541.0,544.0,549.0,True,,"{'valid': True, 'sample_count': 30, 'speed_mean_mps': 0.06791159493086509, 'position_std_m': 0.04142125629328433, 'position_slope_mps': 0.04436714062999697, 'x_slope_mps': -0.04418972538838523, 'y_slope_mps': -0.003963752991929359}",E_pos,1,,,"[55.0, 16.0]","[55.04340438842773, 16.00316453933716]",10.0,0.43519596091896645,179,30,50
position_vertex_01,position,552.0,570.0,18.0,,5.0,3.0,552.0,559.0,559.0,562.0,567.0,True,,"{'valid': True, 'sample_count': 30, 'speed_mean_mps': 0.0860604270889461, 'position_std_m': 0.06319399238377153, 'position_slope_mps': 0.07159256192099556, 'x_slope_mps': 0.012616158043315511, 'y_slope_mps': -0.07047217520864293}",E_pos,2,,,"[53.86560233966944, 22.07533892661529]","[53.87548454284668, 22.099584884643555]",10.0,0.26182521275549336,179,30,50
position_vertex_02,position,570.0,588.0,18.0,,5.0,3.0,570.0,577.0,577.5,580.5,585.5,True,,"{'valid': True, 'sample_count': 30, 'speed_mean_mps': 0.08138246873089917, 'position_std_m': 0.059358345184071265, 'position_slope_mps': 0.06376654689145447, 'x_slope_mps': 0.04476611820319139, 'y_slope_mps': -0.04541109075410939}",E_pos,3,,,"[49.37686073033998, 26.323609149857322]","[49.37589660644531, 26.345215721130373]",10.0,0.21628071043476785,179,30,50
position_vertex_03,position,588.0,606.0,18.0,,5.0,3.0,588.0,595.0,595.0,598.0,603.0,True,,"{'valid': True, 'sample_count': 30, 'speed_mean_mps': 0.07575977956042064, 'position_std_m': 0.05349800599748291, 'position_slope_mps': 0.059719662322934755, 'x_slope_mps': 0.059663429016749404, 'y_slope_mps': 0.0025910048106204103}",E_pos,4,,,"[43.24832190005958, 27.12211583784174]","[43.21193832397461, 27.116455154418944]",10.0,0.36821297445148515,179,30,50
