t_sec,phase,kind,phase_elapsed_sec,evaluated_component,repeat,desired_x,desired_y,desired_z,desired_vx,desired_vy,desired_vz,desired_yaw,actual_x,actual_y,actual_z,actual_vx_world,actual_vy_world,actual_vz,actual_yaw,target_x,target_y,target_yaw,denominator,position_error_m,velocity_error_mps,yaw_error_rad,E_pos_percent,E_vel_percent,E_yaw_percent
0.00015750003512948751,p0_prehold,hold,3.899913281202316e-06,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.9781494140625,16.002765655517578,10.081472396850586,0.03691436399302101,0.02338002320571771,-0.0987772323278335,0.47113777517095967,55.0,16.0,0.469929,,,,,,,
0.10089063202030957,p0_prehold,hold,0.10080363100860268,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.9821891784668,16.006404876708984,10.080879211425781,0.05593090081933701,0.03428421227115516,-0.08141427897601668,0.47022149187167056,55.0,16.0,0.469929,,,,,,,
0.201224360964261,p0_prehold,hold,0.20111795992124826,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.98777389526367,16.01090431213379,10.08090877532959,0.06106451861428384,0.03738662044731483,-0.08208024735583455,0.47071298786521126,55.0,16.0,0.469929,,,,,,,
0.3016891910228878,p0_prehold,hold,0.3015947910025716,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.993186950683594,16.01506233215332,10.081263542175293,0.059799590917000246,0.03539526930953848,-0.08104453941259104,0.4703323476809166,55.0,16.0,0.469929,,,,,,,
0.4022281219949946,p0_prehold,hold,0.40213682095054537,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.998756408691406,16.019052505493164,10.08086109161377,0.0642778810132402,0.03685539264593748,-0.1023099361997626,0.47071345240801915,55.0,16.0,0.469929,,,,,,,
0.5028840530430898,p0_prehold,hold,0.5027908519841731,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,55.00454330444336,16.023075103759766,10.080612182617188,0.054030080444699716,0.030650893573018503,-0.07909255828907001,0.4704481763338125,55.0,16.0,0.469929,,,,,,,
0.6034540829714388,p0_prehold,hold,0.603365582996048,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,55.00947952270508,16.02635383605957,10.080660820007324,0.04648021381814671,0.02634447427396911,-0.09403773270621202,0.4709503241780384,55.0,16.0,0.469929,,,,,,,
0.7045104160206392,p0_prehold,hold,0.7044224159326404,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,55.011924743652344,16.028207778930664,10.08108901977539,-0.009051715847151809,-0.00352042132379402,-0.07329664560347186,0.4709156804658512,55.0,16.0,0.469929,,,,,,,
0.805287549039349,p0_prehold,hold,0.8051738479407504,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,55.00975036621094,16.027193069458008,10.081478118896484,-0.044029267244953915,-0.02700413339057139,-0.0845854189502024,0.4706004168980222,55.0,16.0,0.469929,,,,,,,
0.9056575789581984,p0_prehold,hold,0.9055622779997066,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,55.00360107421875,16.023399353027344,10.081901550292969,-0.07683615870187417,-0.05010078662381477,-0.06778964153674864,0.46996333187008943,55.0,16.0,0.469929,,,,,,,
1.0069646129850298,p0_prehold,hold,1.0068639129167423,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.997615814208984,16.01902198791504,10.082459449768066,-0.04809315559648482,-0.041797401951766594,-0.08367168503258893,0.4690200402626836,55.0,16.0,0.469929,,,,,,,
1.1075904440367594,p0_prehold,hold,1.107488643960096,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.99357223510742,16.01504898071289,10.082941055297852,-0.034695799762891194,-0.03664283813157604,-0.06539620942219378,0.4684260202132153,55.0,16.0,0.469929,,,,,,,
1.2083219760097563,p0_prehold,hold,1.2082231759559363,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.99152755737305,16.01224708557129,10.0836181640625,-0.01401653476064196,-0.02359957653451214,-0.08187286890791917,0.4673500003961128,55.0,16.0,0.469929,,,,,,,
1.3099263129988685,p0_prehold,hold,1.3098070129053667,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.99016571044922,16.010019302368164,10.0840425491333,-0.01893167633774591,-0.02240759068126583,-0.07241637985784988,0.46735047266273405,55.0,16.0,0.469929,,,,,,,
1.4101233419496566,p0_prehold,hold,1.4100284419255331,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.98945617675781,16.00855255126953,10.08469009399414,0.0033978440274809677,-0.009371819808079825,-0.0833875795192471,0.46595240933502097,55.0,16.0,0.469929,,,,,,,
1.51053127204068,p0_prehold,hold,1.5104338719975203,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.99103927612305,16.008358001708984,10.084687232971191,0.02240953901424561,0.0019080548549972997,-0.08237210181406662,0.4663849447233291,55.0,16.0,0.469929,,,,,,,
1.6109556020237505,p0_prehold,hold,1.6108492019120604,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.994388580322266,16.009231567382812,10.084802627563477,0.04091872327822545,0.010248576207941893,-0.08693275613027972,0.4663130355558136,55.0,16.0,0.469929,,,,,,,
1.7116721350466833,p0_prehold,hold,1.7115792339900509,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.99910354614258,16.01058578491211,10.084118843078613,0.03586450256910985,0.005980108573755595,-0.09534409261063394,0.46789546804089877,55.0,16.0,0.469929,,,,,,,
1.8123672660440207,p0_prehold,hold,1.8122685649432242,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,55.002357482910156,16.01112174987793,10.083847999572754,0.020680448736902054,-0.0027126198755426127,-0.08661027656497568,0.46881053734531786,55.0,16.0,0.469929,,,,,,,
1.913150597945787,p0_prehold,hold,1.912969697965309,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,55.00458908081055,16.010894775390625,10.083517074584961,0.008183537122309962,-0.010113062730386329,-0.08833940344356582,0.47090614859195823,55.0,16.0,0.469929,,,,,,,
2.013635030016303,p0_prehold,hold,2.013539128936827,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,55.005184173583984,16.009859085083008,10.083830833435059,-0.009039748443036452,-0.01935577055708028,-0.07687934499180331,0.4719161796785957,55.0,16.0,0.469929,,,,,,,
2.1142445609439164,p0_prehold,hold,2.114149559987709,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,55.004154205322266,16.007854461669922,10.083901405334473,-0.027763772048147985,-0.02787565737520285,-0.08785388178697343,0.47343491549281186,55.0,16.0,0.469929,,,,,,,
2.21520369395148,p0_prehold,hold,2.215106193907559,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,55.00033187866211,16.004735946655273,10.084149360656738,-0.06491177137692292,-0.043134363569372926,-0.07395379546234532,0.47315538329701023,55.0,16.0,0.469929,,,,,,,
2.3158682259963825,p0_prehold,hold,2.3157624260056764,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.99349594116211,16.00035858154297,10.083799362182617,-0.0705272864627622,-0.04216726285548566,-0.09839417694739344,0.47294789163796225,55.0,16.0,0.469929,,,,,,,
2.41657435905654,p0_prehold,hold,2.4164752579526976,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.986820220947266,15.996526718139648,10.083404541015625,-0.06528651106963897,-0.03579677930172703,-0.07310671491301748,0.47182248132748367,55.0,16.0,0.469929,,,,,,,
2.5170351889682934,p0_prehold,hold,2.5169139879290015,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.98210906982422,15.994190216064453,10.082798957824707,-0.016481096709934265,-0.006480888829323659,-0.09730294351676234,0.4710907070509209,55.0,16.0,0.469929,,,,,,,
2.61772282095626,p0_prehold,hold,2.6176244209054857,,0,55.0,16.0,10.0,0.0,0.0,0.0,0.469929,54.9808349609375,15.993971824645996,10.081974983215332,-0.0015147093857785599,0.0017581872816870142,-0.0706889004337577,0.4707931947278845,55.0,16.0,0.469929,,,,,,,
