index,label,name,x,y,z,yaw_rad,radius_m,nearest_distance_m,nearest_x,nearest_y,nearest_z,nearest_time_sec,nearest_actual_yaw_rad,nearest_yaw_error_rad,active_nearest_distance_m,metric_3_6_error_ratio,metric_3_6_pass,metric_3_9_final_error_ratio,metric_3_10_pass,status,finalized,finalize_reason
0,P0,p0_h_midair_start,55.0,16.0,10.0,0.469929,4.0,0.2510851477726238,55.143822,15.805442,9.932872,30.904,0.541972,0.07204299999999986,1.5542540546136618,,,,,passed,True,active_goal_switch
1,P1,p1_o3_reference_behind,96.459,37.056,10.0,0.564,5.5,0.07491121103012512,96.478851,37.023804,10.064661,47.772,0.927806,0.3638060000000003,1.1384542875416654,0.0016110109902924001,True,,True,passed,True,active_goal_switch
2,P2,p2_o3_front_offset,101.42,48.267,10.0,0.853933,5.5,0.24394612909821112,101.458374,48.039501,10.079255,53.072,0.40348,-0.450453,2.084892746608803,0.019898359354518478,True,,True,passed,True,active_goal_switch
3,P3,p3_o4_reference_behind_mirror,110.279,44.075,10.0,-0.193061,5.5,0.31233221149442975,110.428719,44.329624,10.1015,57.272,-0.386886,-0.19382499999999991,2.6376440787520905,0.031868187561951346,True,,True,passed,True,active_goal_switch
4,P4,p4_o4_front_offset_mirror,122.259,41.466,10.0,0.060428,5.5,0.34018649027408426,122.261345,41.798828,10.070334,62.104,-0.125622,-0.18604999999999983,2.421108147734214,0.027745858137448128,True,,True,passed,True,active_goal_switch
5,P5,p5_white_wind_channel_w1_station,156.735,51.818,10.0,-0.570212,6.0,0.4580802355188395,156.808533,51.371422,10.0707,74.904,0.42961,0.999822,1.7529298744564883,0.012725636804152533,True,,True,passed,True,active_goal_switch
6,P6,p6_white_wind_channel_w4_station,189.077,31.078,10.0,-0.570212,6.0,0.0906306964057975,189.064987,31.062761,10.088529,88.872,-1.029769,-0.45955699999999977,1.3767453541762866,0.002358900891490563,True,,True,passed,True,active_goal_switch
7,P7,p7_red_bridge_center_normal,196.827,-50.265,10.0,-0.967569,5.5,0.1477409843306816,196.725739,-50.286507,10.105409,117.068,-0.923816,0.04375300000000015,2.185024736657,0.0018080838036260193,True,,True,passed,True,active_goal_switch
8,P8,p8_cargo_one_meter_finish,238.24,-110.381,10.0,-0.967569,1.0,0.5952538810440474,237.792267,-109.990128,10.032885,142.204,-0.810662,0.1569069999999999,0.5952538810440474,,,0.0019204885330139766,True,current,True,final_hold_reached
